Official_Ranking,Country,Official_Score,EuroEurovoix_Albania,Eurovoix_Andorra,Eurovoix_Armenia,Eurovoix_Australia,Eurovoix_Austria,Eurovoix_Belgium,Eurovoix_Bosnia,Eurovoix_Bulgaria,Eurovoix_Croatia,Eurovoix_Cyprus,Eurovoix_Denmark,Eurovoix_Estonia,Eurovoix_Finland,Eurovoix_France,Eurovoix_Georgia,Eurovoix_Germany,Eurovoix_Greece,Eurovoix_Hungary,Eurovoix_Iceland,Eurovoix_Ireland,Eurovoix_Israel,Eurovoix_Italy,Eurovoix_Kazakhstan,Eurovoix_Latvia,Eurovoix_Lithuania,Eurovoix_Luxembourg,Eurovoix_Malta,Eurovoix_Moldova,Eurovoix_Monaco,Eurovoix_Netherlands,Eurovoix_North_Macedonia,Eurovoix_Norway,Vox_Poland,Eurovoix_Portugal,Vox_Romania,Eurovoix_San_Marino,Eurovoix_Serbia,Eurovoix_Slovenia,Vox_Spain,Eurovoix_Sweden,Eurovoix_Switzerland,Eurovoix_Ukraine,Eurovoix_United_Kingdom
17,Spain,NA,NA,1,NA,NA,8,NA,7,NA,3,10,NA,10,NA,NA,NA,NA,NA,NA,5,8,6,8,NA,5,NA,NA,3,NA,NA,NA,NA,4,3,8,3,NA,10,8,NA,NA,NA,NA,NA
18,Moldova,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Poland,NA,2,NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Switzerland,NA,8,NA,7,NA,NA,12,3,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA,4,7,8,6,NA,6,5,NA,5,NA,NA,NA,NA,NA,5,10
21,Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,10,NA,NA
22,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Portugal,NA,3,5,NA,NA,NA,NA,NA,8,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Serbia,NA,NA,NA,NA,NA,6,NA,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
25,United Kingdom,NA,NA,8,NA,8,NA,2,NA,6,NA,NA,NA,NA,4,NA,NA,1,4,3,6,12,NA,NA,7,8,8,7,6,NA,1,5,NA,NA,2,1,4,3,4,3,1,10,NA,NA,NA
26,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA,5,12,NA
27,Azerbaijan,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA
28,Denmark,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,6,NA,NA,5,7,2,NA,NA,1,3,NA,NA,4,NA,NA,NA,7,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA,10,5
29,Georgia,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,3,NA,NA
30,Greece,NA,4,2,NA,5,NA,4,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Iceland,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA
32,Ireland,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,12,NA,1,NA,3,NA,NA,NA,NA,3,1,4,NA,3,NA,NA,NA,1,NA,NA,5,NA,NA,8,NA,NA,NA,NA,NA,1,2
33,Latvia,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8,3,NA
34,Malta,NA,NA,NA,2,NA,5,8,NA,NA,NA,NA,1,NA,NA,NA,7,NA,6,5,NA,NA,NA,12,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA
35,Netherlands,NA,5,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,1,10,4,NA,NA,12,NA,NA,NA,10,NA,7,6,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Romania,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
