Official_Ranking,Country,Official_Score,EuroEurovoix_Albania,Eurovoix_Andorra,Eurovoix_Armenia,Eurovoix_Australia,Eurovoix_Austria,Eurovoix_Belgium,Eurovoix_Bosnia,Eurovoix_Bulgaria,Eurovoix_Croatia,Eurovoix_Cyprus,Eurovoix_Denmark,Eurovoix_Estonia,Eurovoix_Finland,Eurovoix_France,Eurovoix_Georgia,Eurovoix_Germany,Eurovoix_Greece,Eurovoix_Hungary,Eurovoix_Iceland,Eurovoix_Ireland,Eurovoix_Israel,Eurovoix_Italy,Eurovoix_Kazakhstan,Eurovoix_Latvia,Eurovoix_Lithuania,Eurovoix_Luxembourg,Eurovoix_Malta,Eurovoix_Moldova,Eurovoix_Moco,Eurovoix_Netherlands,Eurovoix_North_Macedonia,Eurovoix_Norway,Vox_Poland,Eurovoix_Portugal,Vox_Romania,Eurovoix_San_Marino,Eurovoix_Serbia,Eurovoix_Slovenia,Vox_Spain,Eurovoix_Sweden,Eurovoix_Switzerland,Eurovoix_Ukraine,Eurovoix_United_Kingdom
11,Lithuania,,,,,,,,,7,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,1
12,Cyprus,,10,6,12,10,,,,,,,,1,,3,,,,,,3,2,,,,,5,,,5,,10,7,10,3,,12,,,,,2,,
13,Croatia,,,,,,,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
14,Armenia,,,,,4,10,5,,,2,1,6,,,5,3,2,,,,,,6,,,,,,7,,,,5,,,2,,,,,,,,
15,Austria,,,,,2,,,,,,,4,,10,,,8,,,4,1,1,,,,,,2,,,,1,1,,6,,6,7,,8,3,,6,12
16,France,,7,,,6,,6,10,4,6,12,10,12,8,,12,6,,10,7,7,5,,5,,2,8,7,6,,2,4,,8,,10,10,,12,2,12,12,2,7
17,Spain,,,1,,,8,,7,,3,10,,10,,,,,,,5,8,6,8,,5,,,3,,,,,4,3,8,3,,10,8,,,,,
18,Moldova,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Poland,,2,,,,,,,10,,,2,,,,,,,4,,,,,2,,,,,,6,,,,,,,,,,,,,,
20,Switzerland,,8,,7,,,12,3,,4,,,,,8,,,,,,,4,7,,,,,,4,7,8,6,,6,5,,5,,,,,,5,10
21,Slovenia,,,,,,,,,,1,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,10,,
22,Albania,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Portugal,,3,5,,,,,,8,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Serbia,,,,,,6,,,,8,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,
25,United Kingdom,,,8,,8,,2,,6,,,,,4,,,1,4,3,6,12,,,7,8,8,7,6,,1,5,,,2,1,4,3,4,3,1,10,,,
26,Germany,,,,,,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,1,,,,,,10,,5,12,
27,Azerbaijan,,,,,,3,,,,,2,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,,,1,8,
28,Denmark,,,,,,2,,,,,4,,,,6,,,5,7,2,,,1,3,,,4,,,,7,,10,,,,,,,,6,,10,5
29,Georgia,,,,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,8,,,,,,3,,
30,Greece,,4,2,,5,,4,,,,,,,5,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
31,Iceland,,,,1,,,,,2,,,,,,1,,,,,,6,,,,,,,,,,,,,,,5,,1,,,,,,
32,Ireland,,,,,,,,2,,,,,2,12,,1,,3,,,,,3,1,4,,3,,,,1,,,5,,,8,,,,,,1,2
33,Latvia,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,3,,8,3,
34,Malta,,,,2,,5,8,,,,,1,,,,7,,6,5,,,,12,,,,6,,,,,,,,,,2,,,,2,,,
35,Netherlands,,5,,,,,7,4,,,,,,1,10,4,,,12,,,,10,,7,6,,,,,,8,,,,,,,,,,,,
36,Romania,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
